config_name,video_name,precision,recall,f1_score,accuracy,roc_auc,fpr,fnr,tpr,latency_ms,fps,frame_reduction_pct,ram_mb,cpu_pct,gpu_mb,signature_score,evidence_completeness,ground_truth_positive,predicted_positive,decision_score
Config A (Baseline),13_0.mp4,1.0,1.0,1.0,1.0,0.1061,1.0,0.0,1.0,55.69,18.0,3.8,1141.3,41.4,42.1,0.9733,0.9733,1,1,0.9733
Config A (Baseline),14.mp4,1.0,1.0,1.0,1.0,0.1061,1.0,0.0,1.0,64.24,15.6,19.8,1155.7,38.7,42.1,0.9967,0.9967,1,1,0.9967
Config A (Baseline),14_0.mp4,1.0,1.0,1.0,1.0,0.1061,1.0,0.0,1.0,56.7,17.6,9.4,1142.6,43.4,42.1,0.8643,0.8643,1,1,0.8643
Config A (Baseline),16.mp4,0.0,0.0,0.0,0.0,0.1061,1.0,1.0,0.0,70.47,14.2,41.7,1140.3,43.4,42.1,0.0,0.0,1,0,0.0
Config A (Baseline),16_0.mp4,0.0,0.0,0.0,0.0,0.1061,1.0,1.0,0.0,79.26,12.6,41.3,1141.1,51.8,42.1,0.7186,0.7186,1,0,0.7186
Config A (Baseline),17.mp4,1.0,1.0,1.0,1.0,0.1061,1.0,0.0,1.0,63.25,15.8,0.3,1029.3,49.6,42.1,1.0,1.0,1,1,1.0
Config A (Baseline),17_0.mp4,1.0,1.0,1.0,1.0,0.1061,1.0,0.0,1.0,41.81,23.9,0.0,1013.4,29.5,42.1,0.9599,0.9599,1,1,0.9599
Config A (Baseline),18_0.mp4,0.0,0.0,0.0,0.0,0.1061,1.0,1.0,0.0,48.96,20.4,0.0,1029.7,27.4,42.1,0.0,0.0,1,0,0.0
Config A (Baseline),1_0.mp4,0.0,0.0,0.0,0.0,0.1061,1.0,1.0,0.0,54.16,18.5,50.6,1021.8,30.4,42.1,0.0,0.0,1,0,0.0
Config A (Baseline),20_0.mp4,1.0,1.0,1.0,1.0,0.1061,1.0,0.0,1.0,44.21,22.6,0.3,1020.8,26.7,42.1,0.8601,0.8601,1,1,0.8601
Config A (Baseline),21_0.mp4,1.0,1.0,1.0,1.0,0.1061,1.0,0.0,1.0,43.88,22.8,0.0,1033.9,25.2,42.1,0.8656,0.8656,1,1,0.8656
Config A (Baseline),22_0.mp4,1.0,1.0,1.0,1.0,0.1061,1.0,0.0,1.0,41.16,24.3,19.3,1019.3,30.2,42.1,0.8957,0.8957,1,1,0.8957
Config A (Baseline),23_0.mp4,1.0,1.0,1.0,1.0,0.1061,1.0,0.0,1.0,147.31,6.8,88.7,1018.9,36.5,42.1,0.7998,0.7998,1,1,0.7998
Config A (Baseline),24_0.mp4,1.0,1.0,1.0,1.0,0.1061,1.0,0.0,1.0,57.95,17.3,56.5,1022.0,27.0,42.1,0.7889,0.7889,1,1,0.7889
Config A (Baseline),25_0.mp4,1.0,1.0,1.0,1.0,0.1061,1.0,0.0,1.0,46.64,21.4,0.0,1036.4,26.7,42.1,0.7838,0.7838,1,1,0.7838
Config A (Baseline),26_0.mp4,1.0,1.0,1.0,1.0,0.1061,1.0,0.0,1.0,42.85,23.3,4.4,1018.0,32.3,42.1,0.9175,0.9175,1,1,0.9175
Config A (Baseline),27_0.mp4,1.0,1.0,1.0,1.0,0.1061,1.0,0.0,1.0,84.91,11.8,62.2,1022.1,38.0,42.1,0.7998,0.7998,1,1,0.7998
Config A (Baseline),2_0.mp4,1.0,1.0,1.0,1.0,0.1061,1.0,0.0,1.0,48.49,20.6,0.0,1018.0,41.6,42.1,0.9599,0.9599,1,1,0.9599
Config A (Baseline),30_0.mp4,1.0,1.0,1.0,1.0,0.1061,1.0,0.0,1.0,57.24,17.5,0.0,886.4,42.7,42.1,0.8954,0.8954,1,1,0.8954
Config A (Baseline),3_0.mp4,0.0,0.0,0.0,0.0,0.1061,1.0,1.0,0.0,52.67,19.0,3.3,907.9,44.1,42.1,0.6699,0.6699,1,0,0.6699
Config A (Baseline),4_0.mp4,0.0,0.0,0.0,0.0,0.1061,1.0,1.0,0.0,66.71,15.0,51.9,890.0,45.9,42.1,0.0,0.0,1,0,0.0
Config A (Baseline),5_0.mp4,1.0,1.0,1.0,1.0,0.1061,1.0,0.0,1.0,55.74,17.9,0.0,908.8,44.4,42.1,0.8515,0.8515,1,1,0.8515
Config A (Baseline),6.mp4,1.0,1.0,1.0,1.0,0.1061,1.0,0.0,1.0,51.13,19.6,12.5,890.1,38.1,42.1,0.9667,0.9667,1,1,0.9667
Config A (Baseline),6_0.mp4,0.0,0.0,0.0,0.0,0.1061,1.0,1.0,0.0,52.77,18.9,0.0,895.9,40.4,42.1,0.7197,0.7197,1,0,0.7197
Config A (Baseline),7.mp4,0.0,0.0,0.0,0.0,0.1061,1.0,1.0,0.0,98.33,10.2,78.1,881.0,41.5,42.1,0.0,0.0,1,0,0.0
Config A (Baseline),7_0.mp4,0.0,0.0,0.0,0.0,0.1061,1.0,1.0,0.0,54.7,18.3,14.9,911.1,37.1,42.1,0.7417,0.7417,1,0,0.7417
Config A (Baseline),8.mp4,0.0,0.0,0.0,0.0,0.1061,1.0,1.0,0.0,56.0,17.9,18.2,907.7,38.2,42.1,0.5953,0.5953,1,0,0.5953
Config A (Baseline),9.mp4,1.0,1.0,1.0,1.0,0.1061,1.0,0.0,1.0,60.18,16.6,25.1,911.6,40.0,42.1,0.9282,0.9282,1,1,0.9282
Config A (Baseline),9_0.mp4,1.0,1.0,1.0,1.0,0.1061,1.0,0.0,1.0,58.27,17.2,21.5,587.8,42.1,42.1,0.9665,0.9665,1,1,0.9665
Config B (+ Motion Triage),s_11.avi,0.0,0.0,0.0,0.0,0.1061,1.0,0.0,0.6286,90.07,11.1,0.3,696.8,38.5,42.1,0.9867,0.9867,0,1,0.9867
Config B (+ Motion Triage),s_12.avi,0.0,0.0,0.0,0.0,0.1061,1.0,0.0,0.6286,101.74,9.8,0.3,696.0,40.6,42.1,0.9953,0.9953,0,1,0.9953
Config B (+ Motion Triage),s_15.avi,0.0,0.0,0.0,0.0,0.1061,1.0,0.0,0.6286,111.46,9.0,0.3,598.9,46.5,42.1,0.9504,0.9504,0,1,0.9504
Config B (+ Motion Triage),s_18.avi,0.0,0.0,0.0,0.0,0.1061,1.0,0.0,0.6286,78.87,12.7,0.3,602.9,38.6,42.1,1.0,1.0,0,1,1.0
Config B (+ Motion Triage),s_20.avi,0.0,0.0,0.0,0.0,0.1061,1.0,0.0,0.6286,76.99,13.0,0.3,600.7,38.5,42.1,0.9066,0.9066,0,1,0.9066
Config B (+ Motion Triage),s_23.avi,0.0,0.0,0.0,0.0,0.1061,1.0,0.0,0.6286,147.18,6.8,0.3,736.1,40.0,42.1,0.9733,0.9733,0,1,0.9733
Config B (+ Motion Triage),s_24.avi,0.0,0.0,0.0,0.0,0.1061,1.0,0.0,0.6286,169.21,5.9,0.3,733.2,39.8,42.1,0.99,0.99,0,1,0.99
Config B (+ Motion Triage),1.mp4,0.0,0.0,0.0,0.0,0.1061,1.0,1.0,0.0,50.28,19.9,19.9,506.7,22.4,42.1,0.6252,0.6252,1,0,0.6252
Config B (+ Motion Triage),10.mp4,1.0,1.0,1.0,1.0,0.1061,1.0,0.0,1.0,93.42,10.7,31.1,549.5,19.2,42.1,0.7573,0.7573,1,1,0.7573
Config B (+ Motion Triage),10_0.mp4,1.0,1.0,1.0,1.0,0.1061,1.0,0.0,1.0,36.75,27.2,6.3,451.0,22.0,42.1,0.962,0.962,1,1,0.962
Config B (+ Motion Triage),11.mp4,1.0,1.0,1.0,1.0,0.1061,1.0,0.0,1.0,80.7,12.4,33.2,547.3,16.5,42.1,0.9033,0.9033,1,1,0.9033
Config B (+ Motion Triage),11_0.mp4,0.0,0.0,0.0,0.0,0.1061,1.0,1.0,0.0,62.48,16.0,2.8,526.2,16.3,42.1,0.5975,0.5975,1,0,0.5975
Config B (+ Motion Triage),12.mp4,0.0,0.0,0.0,0.0,0.1061,1.0,1.0,0.0,91.32,10.9,14.3,541.1,19.1,42.1,0.7085,0.7085,1,0,0.7085
Config B (+ Motion Triage),13_0.mp4,1.0,1.0,1.0,1.0,0.1061,1.0,0.0,1.0,37.8,26.4,4.9,450.0,18.3,42.1,0.9733,0.9733,1,1,0.9733
Config B (+ Motion Triage),14.mp4,1.0,1.0,1.0,1.0,0.1061,1.0,0.0,1.0,99.7,10.0,19.8,547.3,24.4,42.1,0.9967,0.9967,1,1,0.9967
Config B (+ Motion Triage),14_0.mp4,1.0,1.0,1.0,1.0,0.1061,1.0,0.0,1.0,44.7,22.4,17.7,459.8,27.0,42.1,0.8643,0.8643,1,1,0.8643
Config B (+ Motion Triage),16.mp4,0.0,0.0,0.0,0.0,0.1061,1.0,1.0,0.0,51.43,19.4,44.1,451.5,26.1,42.1,0.0,0.0,1,0,0.0
Config B (+ Motion Triage),16_0.mp4,0.0,0.0,0.0,0.0,0.1061,1.0,1.0,0.0,51.0,19.6,41.6,451.2,26.8,42.1,0.7186,0.7186,1,0,0.7186
Config B (+ Motion Triage),17.mp4,1.0,1.0,1.0,1.0,0.1061,1.0,0.0,1.0,60.29,16.6,1.1,547.1,19.2,42.1,1.0,1.0,1,1,1.0
Config B (+ Motion Triage),17_0.mp4,1.0,1.0,1.0,1.0,0.1061,1.0,0.0,1.0,43.62,22.9,19.6,448.0,21.4,42.1,0.9599,0.9599,1,1,0.9599
Config B (+ Motion Triage),18_0.mp4,0.0,0.0,0.0,0.0,0.1061,1.0,1.0,0.0,70.89,14.1,0.7,536.3,18.3,42.1,0.0,0.0,1,0,0.0
Config B (+ Motion Triage),1_0.mp4,0.0,0.0,0.0,0.0,0.1061,1.0,1.0,0.0,70.35,14.2,51.8,476.9,26.0,42.1,0.0,0.0,1,0,0.0
Config B (+ Motion Triage),20_0.mp4,1.0,1.0,1.0,1.0,0.1061,1.0,0.0,1.0,46.9,21.3,3.7,458.4,24.7,42.1,0.8601,0.8601,1,1,0.8601
Config B (+ Motion Triage),21_0.mp4,1.0,1.0,1.0,1.0,0.1061,1.0,0.0,1.0,74.08,13.5,1.0,547.1,23.5,42.1,0.8656,0.8656,1,1,0.8656
Config B (+ Motion Triage),22_0.mp4,1.0,1.0,1.0,1.0,0.1061,1.0,0.0,1.0,47.96,20.9,19.3,462.0,28.9,42.1,0.8957,0.8957,1,1,0.8957
Config B (+ Motion Triage),23_0.mp4,1.0,1.0,1.0,1.0,0.1061,1.0,0.0,1.0,150.64,6.6,88.7,452.7,33.6,42.1,0.7998,0.7998,1,1,0.7998
Config B (+ Motion Triage),24_0.mp4,1.0,1.0,1.0,1.0,0.1061,1.0,0.0,1.0,72.36,13.8,56.5,469.4,28.2,42.1,0.7889,0.7889,1,1,0.7889
Config B (+ Motion Triage),25_0.mp4,1.0,1.0,1.0,1.0,0.1061,1.0,0.0,1.0,70.58,14.2,0.0,547.1,29.1,42.1,0.7838,0.7838,1,1,0.7838
Config B (+ Motion Triage),26_0.mp4,1.0,1.0,1.0,1.0,0.1061,1.0,0.0,1.0,41.6,24.0,19.0,441.3,31.9,42.1,0.9175,0.9175,1,1,0.9175
Config B (+ Motion Triage),27_0.mp4,1.0,1.0,1.0,1.0,0.1061,1.0,0.0,1.0,79.59,12.6,62.2,463.3,28.7,42.1,0.7998,0.7998,1,1,0.7998
Config B (+ Motion Triage),2_0.mp4,1.0,1.0,1.0,1.0,0.1061,1.0,0.0,1.0,57.47,17.4,5.5,467.5,50.9,42.1,0.9599,0.9599,1,1,0.9599
Config B (+ Motion Triage),30_0.mp4,1.0,1.0,1.0,1.0,0.1061,1.0,0.0,1.0,80.41,12.4,0.0,540.0,44.5,42.1,0.8954,0.8954,1,1,0.8954
Config B (+ Motion Triage),3_0.mp4,0.0,0.0,0.0,0.0,0.1061,1.0,1.0,0.0,85.33,11.7,4.0,548.2,25.9,42.1,0.6699,0.6699,1,0,0.6699
Config B (+ Motion Triage),4_0.mp4,0.0,0.0,0.0,0.0,0.1061,1.0,1.0,0.0,64.92,15.4,69.8,453.7,28.0,42.1,0.0,0.0,1,0,0.0
Config B (+ Motion Triage),5_0.mp4,1.0,1.0,1.0,1.0,0.1061,1.0,0.0,1.0,59.08,16.9,2.0,550.4,16.0,42.1,0.8515,0.8515,1,1,0.8515
Config B (+ Motion Triage),6.mp4,1.0,1.0,1.0,1.0,0.1061,1.0,0.0,1.0,42.13,23.7,12.5,453.6,17.8,42.1,0.9667,0.9667,1,1,0.9667
Config B (+ Motion Triage),6_0.mp4,0.0,0.0,0.0,0.0,0.1061,1.0,1.0,0.0,54.61,18.3,57.6,484.4,16.7,42.1,0.7197,0.7197,1,0,0.7197
Config B (+ Motion Triage),7.mp4,0.0,0.0,0.0,0.0,0.1061,1.0,1.0,0.0,81.2,12.3,78.1,449.0,21.2,42.1,0.0,0.0,1,0,0.0
Config B (+ Motion Triage),7_0.mp4,0.0,0.0,0.0,0.0,0.1061,1.0,1.0,0.0,82.09,12.2,14.9,542.8,17.9,42.1,0.7417,0.7417,1,0,0.7417
Config B (+ Motion Triage),8.mp4,0.0,0.0,0.0,0.0,0.1061,1.0,1.0,0.0,95.67,10.4,18.2,540.9,14.8,42.1,0.5953,0.5953,1,0,0.5953
Config B (+ Motion Triage),9.mp4,1.0,1.0,1.0,1.0,0.1061,1.0,0.0,1.0,85.91,11.6,25.1,522.0,15.3,42.1,0.9282,0.9282,1,1,0.9282
Config B (+ Motion Triage),9_0.mp4,1.0,1.0,1.0,1.0,0.1061,1.0,0.0,1.0,44.89,22.3,43.5,445.6,18.9,42.1,0.8788,0.8788,1,1,0.8788
Config C (+ Behaviour Graph),s_11.avi,0.0,0.0,0.0,0.0,0.2327,1.0,0.0,0.4857,87.37,11.4,0.3,560.5,15.2,42.1,1.0,1.0,0,1,1.0
Config C (+ Behaviour Graph),s_12.avi,0.0,0.0,0.0,0.0,0.2327,1.0,0.0,0.4857,100.16,10.0,0.3,545.1,15.8,42.1,1.0,1.0,0,1,1.0
Config C (+ Behaviour Graph),s_15.avi,0.0,0.0,0.0,0.0,0.2327,1.0,0.0,0.4857,110.96,9.0,0.3,569.1,14.6,42.1,1.0,1.0,0,1,1.0
Config C (+ Behaviour Graph),s_18.avi,0.0,0.0,0.0,0.0,0.2327,1.0,0.0,0.4857,82.99,12.1,0.3,572.0,15.2,42.1,1.0,1.0,0,1,1.0
Config C (+ Behaviour Graph),s_20.avi,0.0,0.0,0.0,0.0,0.2327,1.0,0.0,0.4857,64.32,15.6,0.3,570.3,16.1,42.1,0.83,0.6667,0,1,0.83
Config C (+ Behaviour Graph),s_23.avi,0.0,0.0,0.0,0.0,0.2327,1.0,0.0,0.4857,150.06,6.7,0.3,713.8,14.1,42.1,0.95,0.8333,0,1,0.95
Config C (+ Behaviour Graph),s_24.avi,0.0,0.0,0.0,0.0,0.2327,1.0,0.0,0.4857,179.1,5.6,0.3,714.4,14.0,42.1,0.83,0.6667,0,1,0.83
Config C (+ Behaviour Graph),1.mp4,1.0,1.0,1.0,1.0,0.2327,1.0,0.0,1.0,47.98,20.8,19.9,474.6,17.4,42.1,0.95,0.8333,1,1,0.95
Config C (+ Behaviour Graph),10.mp4,1.0,1.0,1.0,1.0,0.2327,1.0,0.0,1.0,97.25,10.3,31.1,561.8,15.1,42.1,1.0,1.0,1,1,1.0
Config C (+ Behaviour Graph),10_0.mp4,1.0,1.0,1.0,1.0,0.2327,1.0,0.0,1.0,37.18,26.9,6.3,456.1,18.8,42.1,1.0,1.0,1,1,1.0
Config C (+ Behaviour Graph),11.mp4,1.0,1.0,1.0,1.0,0.2327,1.0,0.0,1.0,94.18,10.6,33.2,562.2,16.0,42.1,0.83,0.6667,1,1,0.83
Config C (+ Behaviour Graph),11_0.mp4,0.0,0.0,0.0,0.0,0.2327,1.0,1.0,0.0,65.4,15.3,2.8,536.7,16.7,42.1,0.71,0.5,1,0,0.71
Config C (+ Behaviour Graph),12.mp4,1.0,1.0,1.0,1.0,0.2327,1.0,0.0,1.0,98.47,10.2,14.3,543.2,15.5,42.1,1.0,1.0,1,1,1.0
Config C (+ Behaviour Graph),13_0.mp4,0.0,0.0,0.0,0.0,0.2327,1.0,1.0,0.0,45.25,22.1,4.9,451.2,16.5,42.1,0.59,0.3333,1,0,0.59
Config C (+ Behaviour Graph),14.mp4,1.0,1.0,1.0,1.0,0.2327,1.0,0.0,1.0,108.42,9.2,19.8,564.0,15.0,42.1,1.0,1.0,1,1,1.0
Config C (+ Behaviour Graph),14_0.mp4,0.0,0.0,0.0,0.0,0.2327,1.0,1.0,0.0,44.78,22.3,17.7,471.7,17.4,42.1,0.59,0.3333,1,0,0.59
Config C (+ Behaviour Graph),16.mp4,1.0,1.0,1.0,1.0,0.2327,1.0,0.0,1.0,53.1,18.8,44.1,464.3,16.8,42.1,0.83,0.6667,1,1,0.83
Config C (+ Behaviour Graph),16_0.mp4,0.0,0.0,0.0,0.0,0.2327,1.0,1.0,0.0,56.24,17.8,41.6,460.7,16.4,42.1,0.47,0.1667,1,0,0.47
Config C (+ Behaviour Graph),17.mp4,1.0,1.0,1.0,1.0,0.2327,1.0,0.0,1.0,63.86,15.7,1.1,564.5,15.8,42.1,0.95,0.8333,1,1,0.95
Config C (+ Behaviour Graph),17_0.mp4,0.0,0.0,0.0,0.0,0.2327,1.0,1.0,0.0,132.09,7.6,19.6,461.1,14.7,42.1,0.47,0.1667,1,0,0.47
Config C (+ Behaviour Graph),18_0.mp4,1.0,1.0,1.0,1.0,0.2327,1.0,0.0,1.0,79.88,12.5,0.7,553.7,15.1,42.1,1.0,1.0,1,1,1.0
Config C (+ Behaviour Graph),1_0.mp4,0.0,0.0,0.0,0.0,0.2327,1.0,1.0,0.0,74.08,13.5,51.8,491.6,20.0,42.1,0.47,0.1667,1,0,0.47
Config C (+ Behaviour Graph),20_0.mp4,1.0,1.0,1.0,1.0,0.2327,1.0,0.0,1.0,51.64,19.4,3.7,472.1,15.9,42.1,0.95,0.8333,1,1,0.95
Config C (+ Behaviour Graph),21_0.mp4,1.0,1.0,1.0,1.0,0.2327,1.0,0.0,1.0,80.27,12.5,1.0,568.1,15.5,42.1,1.0,1.0,1,1,1.0
Config C (+ Behaviour Graph),22_0.mp4,0.0,0.0,0.0,0.0,0.2327,1.0,1.0,0.0,59.09,16.9,19.3,473.0,18.8,42.1,0.47,0.1667,1,0,0.47
Config C (+ Behaviour Graph),23_0.mp4,0.0,0.0,0.0,0.0,0.2327,1.0,1.0,0.0,156.52,6.4,88.7,466.3,25.4,42.1,0.47,0.1667,1,0,0.47
Config C (+ Behaviour Graph),24_0.mp4,0.0,0.0,0.0,0.0,0.2327,1.0,1.0,0.0,108.01,9.3,56.5,479.5,16.0,42.1,0.47,0.1667,1,0,0.47
Config C (+ Behaviour Graph),25_0.mp4,0.0,0.0,0.0,0.0,0.2327,1.0,1.0,0.0,74.58,13.4,0.0,567.2,16.1,42.1,0.59,0.3333,1,0,0.59
Config C (+ Behaviour Graph),26_0.mp4,0.0,0.0,0.0,0.0,0.2327,1.0,1.0,0.0,40.44,24.7,19.0,462.3,17.2,42.1,0.71,0.5,1,0,0.71
Config C (+ Behaviour Graph),27_0.mp4,0.0,0.0,0.0,0.0,0.2327,1.0,1.0,0.0,151.92,6.6,62.2,480.0,15.1,42.1,0.47,0.1667,1,0,0.47
Config C (+ Behaviour Graph),2_0.mp4,1.0,1.0,1.0,1.0,0.2327,1.0,0.0,1.0,44.93,22.3,5.5,483.5,18.2,42.1,1.0,1.0,1,1,1.0
Config C (+ Behaviour Graph),30_0.mp4,1.0,1.0,1.0,1.0,0.2327,1.0,0.0,1.0,63.73,15.7,0.0,558.4,17.1,42.1,0.8954,0.8954,1,1,0.8954
Config C (+ Behaviour Graph),3_0.mp4,1.0,1.0,1.0,1.0,0.2327,1.0,0.0,1.0,148.21,6.8,4.0,551.4,13.4,42.1,0.83,0.6667,1,1,0.83
Config C (+ Behaviour Graph),4_0.mp4,0.0,0.0,0.0,0.0,0.2327,1.0,1.0,0.0,67.19,14.9,69.8,466.7,21.5,42.1,0.47,0.1667,1,0,0.47
Config C (+ Behaviour Graph),5_0.mp4,1.0,1.0,1.0,1.0,0.2327,1.0,0.0,1.0,64.27,15.6,2.0,564.8,17.6,42.1,0.95,0.8333,1,1,0.95
Config C (+ Behaviour Graph),6.mp4,1.0,1.0,1.0,1.0,0.2327,1.0,0.0,1.0,45.72,21.9,12.5,466.6,16.9,42.1,0.95,0.8333,1,1,0.95
Config C (+ Behaviour Graph),6_0.mp4,0.0,0.0,0.0,0.0,0.2327,1.0,1.0,0.0,56.69,17.6,57.6,498.6,17.1,42.1,0.7197,0.7197,1,0,0.7197
Config C (+ Behaviour Graph),7.mp4,0.0,0.0,0.0,0.0,0.2327,1.0,1.0,0.0,92.61,10.8,78.1,459.7,21.0,42.1,0.59,0.3333,1,0,0.59
Config C (+ Behaviour Graph),7_0.mp4,0.0,0.0,0.0,0.0,0.2327,1.0,1.0,0.0,85.65,11.7,14.9,570.1,15.2,42.1,0.59,0.3333,1,0,0.59
Config C (+ Behaviour Graph),8.mp4,0.0,0.0,0.0,0.0,0.2327,1.0,1.0,0.0,96.76,10.3,18.2,572.5,15.0,42.1,0.59,0.3333,1,0,0.59
Config C (+ Behaviour Graph),9.mp4,1.0,1.0,1.0,1.0,0.2327,1.0,0.0,1.0,93.02,10.8,25.1,574.4,15.1,42.1,0.95,0.8333,1,1,0.95
Config C (+ Behaviour Graph),9_0.mp4,0.0,0.0,0.0,0.0,0.2327,1.0,1.0,0.0,45.42,22.0,43.5,465.9,19.4,42.1,0.71,0.5,1,0,0.71
Config D (Proposed Framework),s_11.avi,0.0,0.0,0.0,0.0,0.6408,0.4286,0.0,0.6571,3690.95,0.3,0.3,757.8,21.4,43.6,0.8,0.75,0,1,0.8
Config D (Proposed Framework),s_12.avi,0.0,0.0,0.0,0.0,0.6408,0.4286,0.0,0.6571,370.47,2.7,0.3,683.2,43.8,43.6,0.8,0.75,0,1,0.8
Config D (Proposed Framework),s_15.avi,1.0,1.0,1.0,1.0,0.6408,0.0,0.0,0.6571,405.43,2.5,0.3,599.6,43.2,43.6,0.65,0.75,0,0,0.65
Config D (Proposed Framework),s_18.avi,0.0,0.0,0.0,0.0,0.6408,0.4286,0.0,0.6571,3026.62,0.3,0.3,714.1,37.9,43.6,0.8,0.75,0,1,0.8
Config D (Proposed Framework),s_20.avi,1.0,1.0,1.0,1.0,0.6408,0.0,0.0,0.6571,187.49,5.3,0.3,605.6,38.1,43.6,0.2,0.25,0,0,0.2
Config D (Proposed Framework),s_23.avi,1.0,1.0,1.0,1.0,0.6408,0.0,0.0,0.6571,368.7,2.7,0.3,828.1,38.4,43.6,0.4,0.5,0,0,0.4
Config D (Proposed Framework),s_24.avi,1.0,1.0,1.0,1.0,0.6408,0.0,0.0,0.6571,308.29,3.2,0.3,809.4,38.0,43.6,0.4,0.5,0,0,0.4
Config D (Proposed Framework),1.mp4,1.0,1.0,1.0,1.0,0.6408,0.4286,0.0,1.0,129.26,7.7,19.9,533.3,38.7,43.6,0.8,0.75,1,1,0.8
Config D (Proposed Framework),10.mp4,1.0,1.0,1.0,1.0,0.6408,0.4286,0.0,1.0,174.52,5.7,31.1,539.3,41.0,43.6,0.75,0.75,1,1,0.75
Config D (Proposed Framework),10_0.mp4,1.0,1.0,1.0,1.0,0.6408,0.4286,0.0,1.0,170.79,5.9,6.3,439.1,37.3,43.7,0.8,0.75,1,1,0.8
Config D (Proposed Framework),11.mp4,0.0,0.0,0.0,0.0,0.6408,0.4286,1.0,0.0,273.55,3.7,33.2,551.2,40.5,43.6,0.55,0.5,1,0,0.55
Config D (Proposed Framework),11_0.mp4,0.0,0.0,0.0,0.0,0.6408,0.4286,1.0,0.0,213.75,4.7,2.8,516.5,36.8,43.7,0.55,0.5,1,0,0.55
Config D (Proposed Framework),12.mp4,0.0,0.0,0.0,0.0,0.6408,0.4286,1.0,0.0,195.08,5.1,14.3,638.7,40.3,43.6,0.4,0.5,1,0,0.4
Config D (Proposed Framework),13_0.mp4,1.0,1.0,1.0,1.0,0.6408,0.4286,0.0,1.0,4222.48,0.2,4.9,765.3,40.0,43.7,0.8,0.75,1,1,0.8
Config D (Proposed Framework),14.mp4,0.0,0.0,0.0,0.0,0.6408,0.4286,1.0,0.0,298.8,3.4,19.8,730.1,41.1,43.6,0.65,0.75,1,0,0.65
Config D (Proposed Framework),14_0.mp4,1.0,1.0,1.0,1.0,0.6408,0.4286,0.0,1.0,173.51,5.8,17.7,559.3,43.2,43.7,0.8,0.75,1,1,0.8
Config D (Proposed Framework),16.mp4,1.0,1.0,1.0,1.0,0.6408,0.4286,0.0,1.0,227.06,4.4,44.1,472.5,39.1,43.7,0.8,0.75,1,1,0.8
Config D (Proposed Framework),16_0.mp4,1.0,1.0,1.0,1.0,0.6408,0.4286,0.0,1.0,403.65,2.5,41.6,467.0,39.6,43.7,1.0,1.0,1,1,1.0
Config D (Proposed Framework),17.mp4,1.0,1.0,1.0,1.0,0.6408,0.4286,0.0,1.0,208.99,4.8,1.1,580.4,38.4,43.6,0.8,0.75,1,1,0.8
