signature_id,interaction_id,fusion_id,matched_signature_name,signature_score,decision,confidence,matched_components_count,missing_components_count,recommendation
SIG-A71F3201,INT-0001,FUSED-INT-0001,StandardMotorcycleSnatch,0.0,No Match,0.0,0,4,ROUTINE RECORD: Interaction INT-0001 exhibits low signature alignment (0%). No immediate forensic action required.
SIG-B33A06F0,INT-0002,FUSED-INT-0002,StandardMotorcycleSnatch,0.2,Weak Match,0.172,1,3,ROUTINE RECORD: Interaction INT-0002 exhibits low signature alignment (20%). No immediate forensic action required.
SIG-81529BB6,INT-0001,FUSED-INT-0001,StandardMotorcycleSnatch,0.0,No Match,0.0,0,4,ROUTINE RECORD: Interaction INT-0001 exhibits low signature alignment (0%). No immediate forensic action required.
SIG-6E651A1C,INT-0002,FUSED-INT-0002,StandardMotorcycleSnatch,0.2,Weak Match,0.172,1,3,ROUTINE RECORD: Interaction INT-0002 exhibits low signature alignment (20%). No immediate forensic action required.
SIG-DBADBAFD,INT-0001,FUSED-INT-0001,StandardMotorcycleSnatch,0.0,No Match,0.0,0,4,ROUTINE RECORD: Interaction INT-0001 exhibits low signature alignment (0%). No immediate forensic action required.
SIG-937819C7,INT-0002,FUSED-INT-0002,StandardMotorcycleSnatch,0.2,Weak Match,0.172,1,3,ROUTINE RECORD: Interaction INT-0002 exhibits low signature alignment (20%). No immediate forensic action required.
SIG-B4FEE37D,INT-0001,FUSED-INT-0001,StandardMotorcycleSnatch,0.0,No Match,0.0,0,4,ROUTINE RECORD: Interaction INT-0001 exhibits low signature alignment (0%). No immediate forensic action required.
SIG-B91C954A,INT-0002,FUSED-INT-0002,StandardMotorcycleSnatch,0.2,Weak Match,0.172,1,3,ROUTINE RECORD: Interaction INT-0002 exhibits low signature alignment (20%). No immediate forensic action required.
SIG-6C00B3D5,INT-0001,FUSED-INT-0001,StandardMotorcycleSnatch,0.2,Weak Match,0.1693,1,3,ROUTINE RECORD: Interaction INT-0001 exhibits low signature alignment (20%). No immediate forensic action required.
SIG-ACCB72EA,INT-0002,FUSED-INT-0002,StandardMotorcycleSnatch,0.4,Weak Match,0.344,2,2,ROUTINE RECORD: Interaction INT-0002 exhibits low signature alignment (40%). No immediate forensic action required.
SIG-EBA7FEF1,INT-0001,FUSED-INT-0001,StandardMotorcycleSnatch,0.2,Weak Match,0.1697,1,3,ROUTINE RECORD: Interaction INT-0001 exhibits low signature alignment (20%). No immediate forensic action required.
SIG-0142D24B,INT-0002,FUSED-INT-0002,StandardMotorcycleSnatch,0.75,Strong Match,0.6604,3,1,FLAGGED FOR HIGH-PRIORITY FORENSIC REVIEW: Interaction INT-0002 exhibits strong signature alignment (75%). Export forensic video clip for investigation.
SIG-B760FCEB,INT-0001,FUSED-INT-0001,StandardMotorcycleSnatch,0.0,No Match,0.0,0,4,ROUTINE RECORD: Interaction INT-0001 exhibits low signature alignment (0%). No immediate forensic action required.
SIG-9FE78DB4,INT-0002,FUSED-INT-0002,StandardMotorcycleSnatch,0.55,Partial Match,0.4761,2,2,FLAGGED FOR SECONDARY REVIEW: Interaction INT-0002 shows partial signature match (55%). Verify reaching/grabbing action manually.
SIG-6267981D,INT-0001,FUSED-INT-0001,StandardMotorcycleSnatch,0.0,No Match,0.0,0,4,ROUTINE RECORD: Interaction INT-0001 exhibits low signature alignment (0%). No immediate forensic action required.
SIG-AB1D7F91,INT-0002,FUSED-INT-0002,StandardMotorcycleSnatch,0.8,High Confidence Match,0.6761,3,1,FLAGGED FOR HIGH-PRIORITY FORENSIC REVIEW: Interaction INT-0002 exhibits strong signature alignment (80%). Export forensic video clip for investigation.
SIG-52F1B8A8,INT-0001,FUSED-INT-0001,StandardMotorcycleSnatch,0.0,No Match,0.0,0,4,ROUTINE RECORD: Interaction INT-0001 exhibits low signature alignment (0%). No immediate forensic action required.
SIG-760A073D,INT-0002,FUSED-INT-0002,StandardMotorcycleSnatch,0.8,High Confidence Match,0.6867,3,1,FLAGGED FOR HIGH-PRIORITY FORENSIC REVIEW: Interaction INT-0002 exhibits strong signature alignment (80%). Export forensic video clip for investigation.
SIG-6D11ABA8,INT-0001,FUSED-INT-0001,StandardMotorcycleSnatch,0.0,No Match,0.0,0,4,ROUTINE RECORD: Interaction INT-0001 exhibits low signature alignment (0%). No immediate forensic action required.
SIG-C668CB47,INT-0002,FUSED-INT-0002,StandardMotorcycleSnatch,0.8,High Confidence Match,0.6948,3,1,FLAGGED FOR HIGH-PRIORITY FORENSIC REVIEW: Interaction INT-0002 exhibits strong signature alignment (80%). Export forensic video clip for investigation.
SIG-FF1B2CBB,INT-0001,FUSED-INT-0001,StandardMotorcycleSnatch,0.0,No Match,0.0,0,4,ROUTINE RECORD: Interaction INT-0001 exhibits low signature alignment (0%). No immediate forensic action required.
SIG-34DFD3ED,INT-0002,FUSED-INT-0002,StandardMotorcycleSnatch,0.8,High Confidence Match,0.7006,3,1,FLAGGED FOR HIGH-PRIORITY FORENSIC REVIEW: Interaction INT-0002 exhibits strong signature alignment (80%). Export forensic video clip for investigation.
SIG-29287ACD,INT-0001,FUSED-INT-0001,StandardMotorcycleSnatch,0.0,No Match,0.0,0,4,ROUTINE RECORD: Interaction INT-0001 exhibits low signature alignment (0%). No immediate forensic action required.
SIG-66E85FB6,INT-0002,FUSED-INT-0002,StandardMotorcycleSnatch,0.8,High Confidence Match,0.7048,3,1,FLAGGED FOR HIGH-PRIORITY FORENSIC REVIEW: Interaction INT-0002 exhibits strong signature alignment (80%). Export forensic video clip for investigation.
SIG-F5DA3B30,INT-0001,FUSED-INT-0001,StandardMotorcycleSnatch,0.0,No Match,0.0,0,4,ROUTINE RECORD: Interaction INT-0001 exhibits low signature alignment (0%). No immediate forensic action required.
SIG-025738B1,INT-0002,FUSED-INT-0002,StandardMotorcycleSnatch,0.8,High Confidence Match,0.7074,3,1,FLAGGED FOR HIGH-PRIORITY FORENSIC REVIEW: Interaction INT-0002 exhibits strong signature alignment (80%). Export forensic video clip for investigation.
SIG-803E19A7,INT-0001,FUSED-INT-0001,StandardMotorcycleSnatch,0.0,No Match,0.0,0,4,ROUTINE RECORD: Interaction INT-0001 exhibits low signature alignment (0%). No immediate forensic action required.
SIG-B5A1B467,INT-0002,FUSED-INT-0002,StandardMotorcycleSnatch,0.8,High Confidence Match,0.7086,3,1,FLAGGED FOR HIGH-PRIORITY FORENSIC REVIEW: Interaction INT-0002 exhibits strong signature alignment (80%). Export forensic video clip for investigation.
SIG-919087FE,INT-0001,FUSED-INT-0001,StandardMotorcycleSnatch,0.0,No Match,0.0,0,4,ROUTINE RECORD: Interaction INT-0001 exhibits low signature alignment (0%). No immediate forensic action required.
SIG-41582A31,INT-0002,FUSED-INT-0002,StandardMotorcycleSnatch,0.8,High Confidence Match,0.7074,3,1,FLAGGED FOR HIGH-PRIORITY FORENSIC REVIEW: Interaction INT-0002 exhibits strong signature alignment (80%). Export forensic video clip for investigation.
SIG-923D4E7A,INT-0001,FUSED-INT-0001,StandardMotorcycleSnatch,0.0,No Match,0.0,0,4,ROUTINE RECORD: Interaction INT-0001 exhibits low signature alignment (0%). No immediate forensic action required.
SIG-4EFCB1F2,INT-0002,FUSED-INT-0002,StandardMotorcycleSnatch,0.8,High Confidence Match,0.7058,3,1,FLAGGED FOR HIGH-PRIORITY FORENSIC REVIEW: Interaction INT-0002 exhibits strong signature alignment (80%). Export forensic video clip for investigation.
SIG-1B1C6040,INT-0001,FUSED-INT-0001,StandardMotorcycleSnatch,0.0,No Match,0.0,0,4,ROUTINE RECORD: Interaction INT-0001 exhibits low signature alignment (0%). No immediate forensic action required.
SIG-65A44956,INT-0002,FUSED-INT-0002,StandardMotorcycleSnatch,0.8,High Confidence Match,0.702,3,1,FLAGGED FOR HIGH-PRIORITY FORENSIC REVIEW: Interaction INT-0002 exhibits strong signature alignment (80%). Export forensic video clip for investigation.
SIG-64E8BCD4,INT-0001,FUSED-INT-0001,StandardMotorcycleSnatch,0.0,No Match,0.0,0,4,ROUTINE RECORD: Interaction INT-0001 exhibits low signature alignment (0%). No immediate forensic action required.
SIG-2CBDD517,INT-0002,FUSED-INT-0002,StandardMotorcycleSnatch,0.8,High Confidence Match,0.6983,3,1,FLAGGED FOR HIGH-PRIORITY FORENSIC REVIEW: Interaction INT-0002 exhibits strong signature alignment (80%). Export forensic video clip for investigation.
SIG-442D6AC8,INT-0001,FUSED-INT-0001,StandardMotorcycleSnatch,0.0,No Match,0.0,0,4,ROUTINE RECORD: Interaction INT-0001 exhibits low signature alignment (0%). No immediate forensic action required.
SIG-0B369130,INT-0002,FUSED-INT-0002,StandardMotorcycleSnatch,0.8,High Confidence Match,0.6931,3,1,FLAGGED FOR HIGH-PRIORITY FORENSIC REVIEW: Interaction INT-0002 exhibits strong signature alignment (80%). Export forensic video clip for investigation.
SIG-73F58F27,INT-0001,FUSED-INT-0001,StandardMotorcycleSnatch,0.2,Weak Match,0.1698,1,3,ROUTINE RECORD: Interaction INT-0001 exhibits low signature alignment (20%). No immediate forensic action required.
SIG-6CBF8D06,INT-0002,FUSED-INT-0002,StandardMotorcycleSnatch,0.8,High Confidence Match,0.6881,3,1,FLAGGED FOR HIGH-PRIORITY FORENSIC REVIEW: Interaction INT-0002 exhibits strong signature alignment (80%). Export forensic video clip for investigation.
SIG-CD87B01B,INT-0001,FUSED-INT-0001,StandardMotorcycleSnatch,0.2,Weak Match,0.1694,1,3,ROUTINE RECORD: Interaction INT-0001 exhibits low signature alignment (20%). No immediate forensic action required.
SIG-E2AAC846,INT-0002,FUSED-INT-0002,StandardMotorcycleSnatch,0.8,High Confidence Match,0.6819,3,1,FLAGGED FOR HIGH-PRIORITY FORENSIC REVIEW: Interaction INT-0002 exhibits strong signature alignment (80%). Export forensic video clip for investigation.
SIG-0E8E0805,INT-0001,FUSED-INT-0001,StandardMotorcycleSnatch,0.0,No Match,0.0,0,4,ROUTINE RECORD: Interaction INT-0001 exhibits low signature alignment (0%). No immediate forensic action required.
SIG-7BB2A2D1,INT-0002,FUSED-INT-0002,StandardMotorcycleSnatch,0.8,High Confidence Match,0.6761,3,1,FLAGGED FOR HIGH-PRIORITY FORENSIC REVIEW: Interaction INT-0002 exhibits strong signature alignment (80%). Export forensic video clip for investigation.
SIG-D8508F0B,INT-0001,FUSED-INT-0001,StandardMotorcycleSnatch,0.0,No Match,0.0,0,4,ROUTINE RECORD: Interaction INT-0001 exhibits low signature alignment (0%). No immediate forensic action required.
SIG-6D46E2DF,INT-0002,FUSED-INT-0002,StandardMotorcycleSnatch,0.8,High Confidence Match,0.6696,3,1,FLAGGED FOR HIGH-PRIORITY FORENSIC REVIEW: Interaction INT-0002 exhibits strong signature alignment (80%). Export forensic video clip for investigation.
SIG-D8BF1C82,INT-0001,FUSED-INT-0001,StandardMotorcycleSnatch,0.0,No Match,0.0,0,4,ROUTINE RECORD: Interaction INT-0001 exhibits low signature alignment (0%). No immediate forensic action required.
SIG-E2C9B473,INT-0002,FUSED-INT-0002,StandardMotorcycleSnatch,0.8,High Confidence Match,0.6634,3,1,FLAGGED FOR HIGH-PRIORITY FORENSIC REVIEW: Interaction INT-0002 exhibits strong signature alignment (80%). Export forensic video clip for investigation.
SIG-02A4CB8A,INT-0001,FUSED-INT-0001,StandardMotorcycleSnatch,0.0,No Match,0.0,0,4,ROUTINE RECORD: Interaction INT-0001 exhibits low signature alignment (0%). No immediate forensic action required.
SIG-F73FE577,INT-0002,FUSED-INT-0002,StandardMotorcycleSnatch,0.8,High Confidence Match,0.6634,3,1,FLAGGED FOR HIGH-PRIORITY FORENSIC REVIEW: Interaction INT-0002 exhibits strong signature alignment (80%). Export forensic video clip for investigation.
SIG-42EFD093,INT-0003,FUSED-INT-0003,StandardMotorcycleSnatch,0.4,Weak Match,0.288,2,2,ROUTINE RECORD: Interaction INT-0003 exhibits low signature alignment (40%). No immediate forensic action required.
SIG-FBBBA5B9,INT-0001,FUSED-INT-0001,StandardMotorcycleSnatch,0.0,No Match,0.0,0,4,ROUTINE RECORD: Interaction INT-0001 exhibits low signature alignment (0%). No immediate forensic action required.
SIG-B305139A,INT-0002,FUSED-INT-0002,StandardMotorcycleSnatch,0.8,High Confidence Match,0.6634,3,1,FLAGGED FOR HIGH-PRIORITY FORENSIC REVIEW: Interaction INT-0002 exhibits strong signature alignment (80%). Export forensic video clip for investigation.
SIG-9A059334,INT-0003,FUSED-INT-0003,StandardMotorcycleSnatch,0.4,Weak Match,0.344,2,2,ROUTINE RECORD: Interaction INT-0003 exhibits low signature alignment (40%). No immediate forensic action required.
SIG-C7F40B2C,INT-0001,FUSED-INT-0001,StandardMotorcycleSnatch,0.0,No Match,0.0,0,4,ROUTINE RECORD: Interaction INT-0001 exhibits low signature alignment (0%). No immediate forensic action required.
SIG-5D6BC737,INT-0002,FUSED-INT-0002,StandardMotorcycleSnatch,0.8,High Confidence Match,0.6634,3,1,FLAGGED FOR HIGH-PRIORITY FORENSIC REVIEW: Interaction INT-0002 exhibits strong signature alignment (80%). Export forensic video clip for investigation.
SIG-998ED181,INT-0003,FUSED-INT-0003,StandardMotorcycleSnatch,0.4,Weak Match,0.3118,2,2,ROUTINE RECORD: Interaction INT-0003 exhibits low signature alignment (40%). No immediate forensic action required.
SIG-D0CF2319,INT-0001,FUSED-INT-0001,StandardMotorcycleSnatch,0.0,No Match,0.0,0,4,ROUTINE RECORD: Interaction INT-0001 exhibits low signature alignment (0%). No immediate forensic action required.
SIG-78513178,INT-0002,FUSED-INT-0002,StandardMotorcycleSnatch,0.8,High Confidence Match,0.6634,3,1,FLAGGED FOR HIGH-PRIORITY FORENSIC REVIEW: Interaction INT-0002 exhibits strong signature alignment (80%). Export forensic video clip for investigation.
SIG-6DEA9295,INT-0003,FUSED-INT-0003,StandardMotorcycleSnatch,0.4,Weak Match,0.2961,2,2,ROUTINE RECORD: Interaction INT-0003 exhibits low signature alignment (40%). No immediate forensic action required.
SIG-0BD566A9,INT-0001,FUSED-INT-0001,StandardMotorcycleSnatch,0.0,No Match,0.0,0,4,ROUTINE RECORD: Interaction INT-0001 exhibits low signature alignment (0%). No immediate forensic action required.
SIG-138BC744,INT-0002,FUSED-INT-0002,StandardMotorcycleSnatch,0.8,High Confidence Match,0.6634,3,1,FLAGGED FOR HIGH-PRIORITY FORENSIC REVIEW: Interaction INT-0002 exhibits strong signature alignment (80%). Export forensic video clip for investigation.
SIG-2A46AAD5,INT-0003,FUSED-INT-0003,StandardMotorcycleSnatch,0.4,Weak Match,0.2916,2,2,ROUTINE RECORD: Interaction INT-0003 exhibits low signature alignment (40%). No immediate forensic action required.
SIG-17E38304,INT-0001,FUSED-INT-0001,StandardMotorcycleSnatch,0.0,No Match,0.0,0,4,ROUTINE RECORD: Interaction INT-0001 exhibits low signature alignment (0%). No immediate forensic action required.
SIG-7643972A,INT-0002,FUSED-INT-0002,StandardMotorcycleSnatch,0.8,High Confidence Match,0.6634,3,1,FLAGGED FOR HIGH-PRIORITY FORENSIC REVIEW: Interaction INT-0002 exhibits strong signature alignment (80%). Export forensic video clip for investigation.
SIG-F7DA56FE,INT-0003,FUSED-INT-0003,StandardMotorcycleSnatch,0.4,Weak Match,0.2884,2,2,ROUTINE RECORD: Interaction INT-0003 exhibits low signature alignment (40%). No immediate forensic action required.
SIG-EDE55BE2,INT-0001,FUSED-INT-0001,StandardMotorcycleSnatch,0.0,No Match,0.0,0,4,ROUTINE RECORD: Interaction INT-0001 exhibits low signature alignment (0%). No immediate forensic action required.
SIG-B259D4E3,INT-0002,FUSED-INT-0002,StandardMotorcycleSnatch,0.8,High Confidence Match,0.6634,3,1,FLAGGED FOR HIGH-PRIORITY FORENSIC REVIEW: Interaction INT-0002 exhibits strong signature alignment (80%). Export forensic video clip for investigation.
SIG-481229EB,INT-0003,FUSED-INT-0003,StandardMotorcycleSnatch,0.4,Weak Match,0.286,2,2,ROUTINE RECORD: Interaction INT-0003 exhibits low signature alignment (40%). No immediate forensic action required.
SIG-558115CB,INT-0001,FUSED-INT-0001,StandardMotorcycleSnatch,0.0,No Match,0.0,0,4,ROUTINE RECORD: Interaction INT-0001 exhibits low signature alignment (0%). No immediate forensic action required.
SIG-7F5D4351,INT-0002,FUSED-INT-0002,StandardMotorcycleSnatch,0.8,High Confidence Match,0.6634,3,1,FLAGGED FOR HIGH-PRIORITY FORENSIC REVIEW: Interaction INT-0002 exhibits strong signature alignment (80%). Export forensic video clip for investigation.
SIG-0AD7A421,INT-0003,FUSED-INT-0003,StandardMotorcycleSnatch,0.4,Weak Match,0.2861,2,2,ROUTINE RECORD: Interaction INT-0003 exhibits low signature alignment (40%). No immediate forensic action required.
SIG-9F789BF8,INT-0001,FUSED-INT-0001,StandardMotorcycleSnatch,0.0,No Match,0.0,0,4,ROUTINE RECORD: Interaction INT-0001 exhibits low signature alignment (0%). No immediate forensic action required.
SIG-6CF86CAA,INT-0002,FUSED-INT-0002,StandardMotorcycleSnatch,0.8,High Confidence Match,0.6634,3,1,FLAGGED FOR HIGH-PRIORITY FORENSIC REVIEW: Interaction INT-0002 exhibits strong signature alignment (80%). Export forensic video clip for investigation.
SIG-4CD38C54,INT-0003,FUSED-INT-0003,StandardMotorcycleSnatch,0.4,Weak Match,0.2842,2,2,ROUTINE RECORD: Interaction INT-0003 exhibits low signature alignment (40%). No immediate forensic action required.
SIG-B0685063,INT-0001,FUSED-INT-0001,StandardMotorcycleSnatch,0.0,No Match,0.0,0,4,ROUTINE RECORD: Interaction INT-0001 exhibits low signature alignment (0%). No immediate forensic action required.
SIG-0A425749,INT-0002,FUSED-INT-0002,StandardMotorcycleSnatch,0.8,High Confidence Match,0.6634,3,1,FLAGGED FOR HIGH-PRIORITY FORENSIC REVIEW: Interaction INT-0002 exhibits strong signature alignment (80%). Export forensic video clip for investigation.
SIG-9B6350D1,INT-0003,FUSED-INT-0003,StandardMotorcycleSnatch,0.4,Weak Match,0.294,2,2,ROUTINE RECORD: Interaction INT-0003 exhibits low signature alignment (40%). No immediate forensic action required.
SIG-18EC8C1C,INT-0001,FUSED-INT-0001,StandardMotorcycleSnatch,0.0,No Match,0.0,0,4,ROUTINE RECORD: Interaction INT-0001 exhibits low signature alignment (0%). No immediate forensic action required.
SIG-F1626415,INT-0002,FUSED-INT-0002,StandardMotorcycleSnatch,0.8,High Confidence Match,0.6634,3,1,FLAGGED FOR HIGH-PRIORITY FORENSIC REVIEW: Interaction INT-0002 exhibits strong signature alignment (80%). Export forensic video clip for investigation.
SIG-1D22F61D,INT-0003,FUSED-INT-0003,StandardMotorcycleSnatch,0.4,Weak Match,0.3026,2,2,ROUTINE RECORD: Interaction INT-0003 exhibits low signature alignment (40%). No immediate forensic action required.
SIG-AABD0199,INT-0001,FUSED-INT-0001,StandardMotorcycleSnatch,0.0,No Match,0.0,0,4,ROUTINE RECORD: Interaction INT-0001 exhibits low signature alignment (0%). No immediate forensic action required.
SIG-EECF54A3,INT-0002,FUSED-INT-0002,StandardMotorcycleSnatch,0.8,High Confidence Match,0.6634,3,1,FLAGGED FOR HIGH-PRIORITY FORENSIC REVIEW: Interaction INT-0002 exhibits strong signature alignment (80%). Export forensic video clip for investigation.
SIG-71BB46A2,INT-0003,FUSED-INT-0003,StandardMotorcycleSnatch,0.4,Weak Match,0.3048,2,2,ROUTINE RECORD: Interaction INT-0003 exhibits low signature alignment (40%). No immediate forensic action required.
SIG-A1B0DC4D,INT-0001,FUSED-INT-0001,StandardMotorcycleSnatch,0.0,No Match,0.0,0,4,ROUTINE RECORD: Interaction INT-0001 exhibits low signature alignment (0%). No immediate forensic action required.
SIG-361258B6,INT-0002,FUSED-INT-0002,StandardMotorcycleSnatch,0.8,High Confidence Match,0.6634,3,1,FLAGGED FOR HIGH-PRIORITY FORENSIC REVIEW: Interaction INT-0002 exhibits strong signature alignment (80%). Export forensic video clip for investigation.
SIG-6989BAA5,INT-0003,FUSED-INT-0003,StandardMotorcycleSnatch,0.4,Weak Match,0.3054,2,2,ROUTINE RECORD: Interaction INT-0003 exhibits low signature alignment (40%). No immediate forensic action required.
SIG-888B6E06,INT-0001,FUSED-INT-0001,StandardMotorcycleSnatch,0.0,No Match,0.0,0,4,ROUTINE RECORD: Interaction INT-0001 exhibits low signature alignment (0%). No immediate forensic action required.
SIG-5AF2D19F,INT-0002,FUSED-INT-0002,StandardMotorcycleSnatch,0.8,High Confidence Match,0.6634,3,1,FLAGGED FOR HIGH-PRIORITY FORENSIC REVIEW: Interaction INT-0002 exhibits strong signature alignment (80%). Export forensic video clip for investigation.
SIG-640863EF,INT-0003,FUSED-INT-0003,StandardMotorcycleSnatch,0.4,Weak Match,0.3102,2,2,ROUTINE RECORD: Interaction INT-0003 exhibits low signature alignment (40%). No immediate forensic action required.
SIG-6EC4D564,INT-0001,FUSED-INT-0001,StandardMotorcycleSnatch,0.0,No Match,0.0,0,4,ROUTINE RECORD: Interaction INT-0001 exhibits low signature alignment (0%). No immediate forensic action required.
SIG-A491251B,INT-0002,FUSED-INT-0002,StandardMotorcycleSnatch,0.8,High Confidence Match,0.6634,3,1,FLAGGED FOR HIGH-PRIORITY FORENSIC REVIEW: Interaction INT-0002 exhibits strong signature alignment (80%). Export forensic video clip for investigation.
SIG-EFB37D9D,INT-0003,FUSED-INT-0003,StandardMotorcycleSnatch,0.4,Weak Match,0.3117,2,2,ROUTINE RECORD: Interaction INT-0003 exhibits low signature alignment (40%). No immediate forensic action required.
SIG-6C1BBD59,INT-0001,FUSED-INT-0001,StandardMotorcycleSnatch,0.0,No Match,0.0,0,4,ROUTINE RECORD: Interaction INT-0001 exhibits low signature alignment (0%). No immediate forensic action required.
SIG-F5EC49EE,INT-0002,FUSED-INT-0002,StandardMotorcycleSnatch,0.8,High Confidence Match,0.6634,3,1,FLAGGED FOR HIGH-PRIORITY FORENSIC REVIEW: Interaction INT-0002 exhibits strong signature alignment (80%). Export forensic video clip for investigation.
SIG-2106285A,INT-0003,FUSED-INT-0003,StandardMotorcycleSnatch,0.4,Weak Match,0.3152,2,2,ROUTINE RECORD: Interaction INT-0003 exhibits low signature alignment (40%). No immediate forensic action required.
SIG-ECB93F8F,INT-0001,FUSED-INT-0001,StandardMotorcycleSnatch,0.0,No Match,0.0,0,4,ROUTINE RECORD: Interaction INT-0001 exhibits low signature alignment (0%). No immediate forensic action required.
SIG-5B3BF098,INT-0002,FUSED-INT-0002,StandardMotorcycleSnatch,0.8,High Confidence Match,0.6634,3,1,FLAGGED FOR HIGH-PRIORITY FORENSIC REVIEW: Interaction INT-0002 exhibits strong signature alignment (80%). Export forensic video clip for investigation.
SIG-95EAC807,INT-0003,FUSED-INT-0003,StandardMotorcycleSnatch,0.4,Weak Match,0.3161,2,2,ROUTINE RECORD: Interaction INT-0003 exhibits low signature alignment (40%). No immediate forensic action required.
SIG-1C314897,INT-0001,FUSED-INT-0001,StandardMotorcycleSnatch,0.0,No Match,0.0,0,4,ROUTINE RECORD: Interaction INT-0001 exhibits low signature alignment (0%). No immediate forensic action required.
SIG-27CA5F5F,INT-0002,FUSED-INT-0002,StandardMotorcycleSnatch,0.8,High Confidence Match,0.6634,3,1,FLAGGED FOR HIGH-PRIORITY FORENSIC REVIEW: Interaction INT-0002 exhibits strong signature alignment (80%). Export forensic video clip for investigation.
SIG-2A78E4BB,INT-0003,FUSED-INT-0003,StandardMotorcycleSnatch,0.4,Weak Match,0.3192,2,2,ROUTINE RECORD: Interaction INT-0003 exhibits low signature alignment (40%). No immediate forensic action required.
SIG-B08BD289,INT-0001,FUSED-INT-0001,StandardMotorcycleSnatch,0.0,No Match,0.0,0,4,ROUTINE RECORD: Interaction INT-0001 exhibits low signature alignment (0%). No immediate forensic action required.
SIG-C125530D,INT-0002,FUSED-INT-0002,StandardMotorcycleSnatch,0.8,High Confidence Match,0.6634,3,1,FLAGGED FOR HIGH-PRIORITY FORENSIC REVIEW: Interaction INT-0002 exhibits strong signature alignment (80%). Export forensic video clip for investigation.
SIG-B6AE6792,INT-0003,FUSED-INT-0003,StandardMotorcycleSnatch,0.4,Weak Match,0.3193,2,2,ROUTINE RECORD: Interaction INT-0003 exhibits low signature alignment (40%). No immediate forensic action required.
SIG-4AAC8CC6,INT-0001,FUSED-INT-0001,StandardMotorcycleSnatch,0.0,No Match,0.0,0,4,ROUTINE RECORD: Interaction INT-0001 exhibits low signature alignment (0%). No immediate forensic action required.
