file_name,relative_path,duration_sec,resolution,fps,total_frames,codec,file_size_mb,file_size_bytes,lighting,camera_type,scene_type,crowd_density,vehicle_activity,pedestrian_activity,motion_intensity,is_corrupted,unreadable_metadata,inconsistent_fps_or_resolution,is_exact_duplicate,is_near_duplicate,duplicate_of
24_0.mp4,Snatch 1.0/Chain Snatching Videos/Snatch Theft/24_0.mp4,5.24,640x352,25.0,131,FMP4,0.23,241907,Day,Static,Outdoor,Unknown,Unknown,Unknown,High,False,False,False,False,False,
25_0.mp4,Snatch 1.0/Chain Snatching Videos/Snatch Theft/25_0.mp4,4.24,1280x720,25.0,106,FMP4,0.74,772283,Day,Static,Outdoor,Unknown,Unknown,Unknown,Medium,False,False,False,False,False,
26_0.mp4,Snatch 1.0/Chain Snatching Videos/Snatch Theft/26_0.mp4,9.04,400x224,25.0,226,FMP4,0.56,591819,Day,Static,Outdoor,Unknown,Unknown,Unknown,Low,False,False,False,False,False,
27_0.mp4,Snatch 1.0/Chain Snatching Videos/Snatch Theft/27_0.mp4,8.04,480x360,25.0,201,FMP4,0.37,391011,Day,Static,Outdoor,Unknown,Unknown,Unknown,High,False,False,False,False,False,
2_0.mp4,Snatch 1.0/Chain Snatching Videos/Snatch Theft/2_0.mp4,3.64,640x352,25.0,91,FMP4,0.26,277527,Day,Static,Outdoor,Unknown,Unknown,Unknown,Low,False,False,False,False,False,
30_0.mp4,Snatch 1.0/Chain Snatching Videos/Snatch Theft/30_0.mp4,2.64,1056x780,25.0,66,FMP4,0.5,522924,Day,Static,Outdoor,Unknown,Unknown,Unknown,Low,False,False,False,False,False,
3_0.mp4,Snatch 1.0/Chain Snatching Videos/Snatch Theft/3_0.mp4,6.0,1280x720,25.0,150,FMP4,0.58,607244,Day,Static,Outdoor,Unknown,Unknown,Unknown,Medium,False,False,False,False,False,
4_0.mp4,Snatch 1.0/Chain Snatching Videos/Snatch Theft/4_0.mp4,4.24,352x288,25.0,106,FMP4,0.24,256533,Day,Static,Outdoor,Unknown,Unknown,Unknown,Low,False,False,False,False,False,
5_0.mp4,Snatch 1.0/Chain Snatching Videos/Snatch Theft/5_0.mp4,8.04,1280x720,25.0,201,FMP4,0.62,645153,Day,Static,Outdoor,Unknown,Unknown,Unknown,Low,False,False,False,False,False,
6.mp4,Snatch 1.0/Chain Snatching Videos/Snatch Theft/6.mp4,9.6,384x288,25.0,240,h264,0.81,850233,Day,Static,Outdoor,Unknown,Unknown,Unknown,High,False,False,False,False,False,
6_0.mp4,Snatch 1.0/Chain Snatching Videos/Snatch Theft/6_0.mp4,9.44,800x480,25.0,236,FMP4,0.57,596214,Mixed,Static,Outdoor,Unknown,Unknown,Unknown,Very Low,False,False,False,False,False,
7.mp4,Snatch 1.0/Chain Snatching Videos/Snatch Theft/7.mp4,7.0,198x360,30.0,210,h264,0.34,351845,Day,PTZ,Outdoor,Unknown,Unknown,Unknown,High,False,False,False,False,False,
7_0.mp4,Snatch 1.0/Chain Snatching Videos/Snatch Theft/7_0.mp4,4.04,1280x720,25.0,101,FMP4,0.81,847956,Day,Moving,Outdoor,Unknown,Unknown,Unknown,High,False,False,False,False,False,
8.mp4,Snatch 1.0/Chain Snatching Videos/Snatch Theft/8.mp4,9.71,1280x720,29.97,291,h264,2.23,2336927,Day,Static,Outdoor,Unknown,Unknown,Unknown,High,False,False,False,False,False,
9.mp4,Snatch 1.0/Chain Snatching Videos/Snatch Theft/9.mp4,10.64,1280x720,29.97,319,h264,2.2,2304833,Day,Static,Outdoor,Unknown,Unknown,Unknown,High,False,False,False,False,False,
9_0.mp4,Snatch 1.0/Chain Snatching Videos/Snatch Theft/9_0.mp4,8.56,352x288,25.0,214,FMP4,0.5,525423,Day,Static,Outdoor,Unknown,Unknown,Unknown,Medium,False,False,False,False,False,
